Bucket_num_and_HB_CH,Date,Site,Site_Bucket,BPM,TRMT,,,,,,,,,,,,,,,,,
0,9/3/16 7:39,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 7:49,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 7:59,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:09,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:19,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:29,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:39,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:49,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 8:59,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:09,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:19,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:29,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:39,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:49,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 9:59,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:09,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:19,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:29,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:39,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:49,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 10:59,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:09,Moneybogue,MBC_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:19,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:29,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:39,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:49,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 11:59,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:09,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:19,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:29,Moneybogue,MBC_0,42,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:39,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:49,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 12:59,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:09,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:19,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:29,Moneybogue,MBC_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:39,Moneybogue,MBC_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:49,Moneybogue,MBC_0,41.4,H,,,,,,,,,,,,,,,,,
0,9/3/16 13:59,Moneybogue,MBC_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:09,Moneybogue,MBC_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:19,Moneybogue,MBC_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:29,Moneybogue,MBC_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:39,Moneybogue,MBC_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:49,Moneybogue,MBC_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 14:59,Moneybogue,MBC_0,40.8,H,,,,,,,,,,,,,,,,,
0,9/3/16 15:09,Moneybogue,MBC_0,40.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:19,Nicoll_Bay,NB_0,45.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:29,Nicoll_Bay,NB_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:39,Nicoll_Bay,NB_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:49,Nicoll_Bay,NB_0,43.8,H,,,,,,,,,,,,,,,,,
0,9/2/16 15:59,Nicoll_Bay,NB_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:09,Nicoll_Bay,NB_0,44.4,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:19,Nicoll_Bay,NB_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:29,Nicoll_Bay,NB_0,45,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:39,Nicoll_Bay,NB_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:49,Nicoll_Bay,NB_0,42,H,,,,,,,,,,,,,,,,,
0,9/2/16 16:59,Nicoll_Bay,NB_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:09,Nicoll_Bay,NB_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:19,Nicoll_Bay,NB_0,42,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:29,Nicoll_Bay,NB_0,43.2,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:39,Nicoll_Bay,NB_0,42.6,H,,,,,,,,,,,,,,,,,
0,9/2/16 17:49,Nicoll_Bay,NB_0,41.4,H,,,,,,,,,,,,,,,,,
