Date_Time,FI,SAG,QTK,NCB,MBC
7/20/2016 23:00,0.02,-0.536666667,-0.673333333,0.005,-2.9
7/21/2016 0:00,-0.04,-1.15,-2.781666667,-1.408333333,-2.355
7/21/2016 1:00,0.323333333,-0.506666667,-2.985,-0.86,1.986666667
7/21/2016 2:00,0.131666667,-0.35,-1.553333333,0.623333333,-2.281666667
7/21/2016 3:00,-0.041666667,0.276666667,1.856666667,-0.226666667,1.16
7/21/2016 4:00,-0.011666667,-0.583333333,-1.218333333,0.053333333,-1.206666667
7/21/2016 5:00,0.055,0.466666667,-0.79,-1.531666667,-1
7/21/2016 6:00,-0.316666667,0.378333333,-0.86,0.068333333,-0.55
7/21/2016 7:00,-0.313333333,-0.015,0.115,-0.203333333,-0.811666667
7/21/2016 8:00,-0.291666667,-0.12,0.318333333,0.231666667,-0.123333333
7/21/2016 9:00,-0.13,-0.093333333,-0.71,0.393333333,-1.25
7/21/2016 10:00,-0.133333333,-0.356666667,0.44,-0.021666667,-1.458333333
7/21/2016 11:00,-0.2,-0.16,-0.216666667,-1.48,-0.43
7/21/2016 12:00,0.091666667,-0.275,-0.47,1.96,1.6
7/21/2016 13:00,-0.218333333,0.526666667,0.546666667,0.445,0.871666667
7/21/2016 14:00,0.525,0.08,-0.465,2.336666667,-1.035
7/21/2016 15:00,0.398333333,0.085,0.463333333,0.578333333,3.563333333
7/21/2016 16:00,0.406666667,0.25,1.036666667,-0.005,1.551666667
7/21/2016 17:00,0.113333333,0.095,1.41,0.221666667,2.23
7/21/2016 18:00,-0.1,0.466666667,1.628333333,-0.071666667,2.475
7/21/2016 19:00,-0.371666667,0.828333333,1.768333333,-0.62,1.248333333
7/21/2016 20:00,-0.216666667,0.72,-0.243333333,-0.16,0.743333333
7/21/2016 21:00,-0.201666667,0.045,-0.696666667,0.403333333,-0.141666667
7/21/2016 22:00,0.303333333,-0.363333333,-0.058333333,-1.175,-1.088333333
7/21/2016 23:00,0.245,-0.151666667,2.75,0.125,-1.421666667
7/22/2016 0:00,-0.036666667,-0.745,-1.933333333,-0.038333333,-3.455
7/22/2016 1:00,-0.103333333,-0.205,-1.361666667,-1.336666667,-2.686666667
7/22/2016 2:00,0.25,-0.236666667,-1.163333333,-1.151666667,-1.953333333
7/22/2016 3:00,0.123333333,-0.148333333,-0.113333333,-0.635,-1.603333333
7/22/2016 4:00,-0.036666667,-0.361666667,0.715,-0.938333333,1.206666667
